,reqId,date,open,high,low,close,volume,count,WAP,hasGaps
280,9000,20170426  19:30:00,2387.0,2390.25,2386.0,2389.75,136297,14709,2388.125,False
281,9000,20170426  20:30:00,2389.75,2394.75,2386.25,2388.25,255196,22160,2390.45,False
282,9000,20170426  21:30:00,2388.25,2393.0,2387.25,2392.75,120530,12093,2390.225,False
283,9000,20170426  22:30:00,2392.75,2394.5,2387.5,2389.0,175506,16807,2391.375,False
284,9000,20170426  23:30:00,2389.0,2391.75,2387.0,2389.75,146352,13748,2389.625,False
285,9000,20170427  00:30:00,2389.75,2392.0,2382.5,2383.5,287130,18759,2386.175,False
286,9000,20170427  01:30:00,2383.5,2384.25,2382.0,2382.75,75001,4693,2383.1,False
287,9000,20170427  02:00:00,2382.5,2383.25,2381.5,2381.75,7239,912,2382.3,False
288,9000,20170427  03:30:00,2381.5,2383.25,2381.25,2383.25,6408,1148,2382.25,False
289,9000,20170427  04:30:00,2383.25,2385.0,2382.75,2383.5,4792,896,2383.95,False
290,9000,20170427  05:30:00,2383.5,2385.0,2383.25,2384.25,4265,953,2384.025,False
291,9000,20170427  06:30:00,2384.25,2385.0,2383.75,2383.75,3469,789,2384.425,False
292,9000,20170427  07:30:00,2383.75,2384.75,2383.25,2384.5,4346,722,2383.875,False
293,9000,20170427  08:30:00,2384.5,2384.75,2383.5,2383.75,2936,528,2384.25,False
294,9000,20170427  09:30:00,2384.0,2384.5,2383.75,2383.75,1752,321,2384.05,False
295,9000,20170427  10:30:00,2384.0,2384.0,2382.5,2383.5,4594,708,2383.25,False
296,9000,20170427  11:30:00,2383.5,2384.75,2383.5,2383.75,6191,878,2384.35,False
297,9000,20170427  12:30:00,2383.75,2384.25,2382.25,2382.25,16936,2371,2383.35,False
298,9000,20170427  13:30:00,2382.25,2383.5,2381.25,2381.75,10637,1503,2382.6,False
299,9000,20170427  14:30:00,2381.75,2383.5,2381.5,2382.5,5960,978,2382.725,False
300,9000,20170427  15:30:00,2382.5,2384.0,2381.75,2383.25,7264,1151,2382.7,False
301,9000,20170427  16:30:00,2383.25,2386.5,2383.25,2385.0,15270,2511,2385.175,False
302,9000,20170427  17:30:00,2385.0,2386.5,2383.25,2384.75,26208,4276,2385.25,False
303,9000,20170427  18:30:00,2384.75,2387.0,2382.75,2385.0,113657,14256,2384.875,False
304,9000,20170427  19:30:00,2385.0,2387.5,2379.25,2381.25,212309,20326,2383.45,False
305,9000,20170427  20:30:00,2381.25,2383.0,2378.75,2380.0,156531,14474,2380.95,False
306,9000,20170427  21:30:00,2380.25,2388.5,2380.0,2388.5,127274,11165,2383.225,False
307,9000,20170427  22:30:00,2388.5,2388.75,2385.25,2386.0,79927,8473,2386.95,False
308,9000,20170427  23:30:00,2385.75,2387.25,2384.5,2386.25,59421,6832,2385.975,False
309,9000,20170428  00:30:00,2386.25,2386.25,2383.0,2385.25,151035,12770,2384.725,False
310,9000,20170428  01:30:00,2385.25,2386.75,2384.5,2386.25,69895,6141,2385.475,False
311,9000,20170428  02:00:00,2386.25,2388.0,2385.5,2387.25,6620,993,2386.85,False
312,9000,20170428  03:30:00,2386.25,2386.5,2384.5,2385.5,4101,787,2385.425,False
313,9000,20170428  04:30:00,2385.75,2386.0,2384.75,2385.25,2109,445,2385.325,False
314,9000,20170428  05:30:00,2385.25,2386.5,2384.75,2386.0,4653,1032,2385.65,False
315,9000,20170428  06:30:00,2386.25,2386.75,2385.25,2386.0,4618,950,2386.15,False
316,9000,20170428  07:30:00,2386.0,2386.5,2385.0,2385.25,2812,638,2385.725,False
317,9000,20170428  08:30:00,2385.5,2385.5,2384.75,2385.0,2495,636,2385.2,False
318,9000,20170428  09:30:00,2385.25,2385.25,2384.0,2384.75,2871,587,2384.725,False
319,9000,20170428  10:30:00,2385.0,2385.25,2384.0,2384.75,3710,614,2384.7,False
320,9000,20170428  11:30:00,2384.75,2385.75,2384.25,2384.5,6030,1067,2385.075,False
321,9000,20170428  12:30:00,2384.25,2385.5,2383.5,2385.25,9287,1707,2384.375,False
322,9000,20170428  13:30:00,2385.25,2387.25,2385.0,2386.0,10943,1764,2386.35,False
323,9000,20170428  14:30:00,2386.0,2388.25,2386.0,2388.0,11158,1431,2386.975,False
324,9000,20170428  15:30:00,2388.0,2388.5,2386.75,2388.0,6989,1112,2387.675,False
325,9000,20170428  16:30:00,2388.0,2388.75,2386.5,2387.25,11977,1729,2387.625,False
326,9000,20170428  17:30:00,2387.0,2388.5,2386.25,2387.0,23890,3317,2387.225,False
327,9000,20170428  18:30:00,2387.0,2388.5,2383.25,2384.25,130951,14724,2385.525,False
328,9000,20170428  19:30:00,2384.25,2385.0,2380.5,2382.5,184304,18352,2382.575,False
329,9000,20170428  20:30:00,2382.75,2383.5,2379.25,2380.0,122119,13682,2380.95,False
330,9000,20170428  21:30:00,2380.25,2382.5,2380.25,2381.0,70436,7366,2381.45,False
331,9000,20170428  22:30:00,2381.25,2381.75,2379.25,2379.75,72717,6612,2380.4,False
332,9000,20170428  23:30:00,2379.75,2381.0,2378.25,2379.25,96695,8776,2379.725,False
333,9000,20170429  00:30:00,2379.25,2381.75,2378.75,2380.5,251485,15506,2380.475,False
